0,0.109000
1,0.182400
2,0.361200
3,0.431700
4,0.497200
5,0.534300
6,0.556000
7,0.567800
8,0.581000
9,0.598600
10,0.607900
11,0.616300
12,0.616200
13,0.625200
14,0.622800
15,0.621100
16,0.629700
17,0.630800
18,0.636700
19,0.634000
20,0.647600
21,0.642300
22,0.644900
23,0.642700
24,0.656400
25,0.651100
26,0.651000
27,0.656600
28,0.663500
29,0.656300
30,0.660400
31,0.658700
32,0.659800
33,0.665300
34,0.661000
35,0.671600
36,0.663000
37,0.668600
38,0.665000
39,0.675500
40,0.663800
41,0.674800
42,0.672400
43,0.675500
44,0.675500
45,0.674100
46,0.674800
47,0.678500
48,0.678800
49,0.678700
50,0.676800
51,0.677500
52,0.679800
53,0.681700
54,0.679400
55,0.678200
56,0.681600
57,0.684100
58,0.676300
59,0.679500
60,0.680700
61,0.685700
62,0.674500
63,0.683600
64,0.682700
65,0.684000
66,0.679900
67,0.689700
68,0.679300
69,0.682200
70,0.680100
71,0.682200
72,0.682900
73,0.683400
74,0.688500
75,0.681400
76,0.677100
77,0.675600
78,0.684200
79,0.679900
80,0.675500
81,0.682200
82,0.683800
83,0.683600
84,0.685600
85,0.684600
86,0.686200
87,0.689100
88,0.679000
89,0.680400
90,0.684600
91,0.681500
92,0.681500
93,0.678700
94,0.684200
95,0.686300
96,0.682500
97,0.683500
98,0.681800
99,0.682200
